"species","habitat_taxref","pf"
"Diancistrus katrineae",1,"P"
"Gunnellichthys monostigma",1,"P"
"Pervagor aspricaudus",1,"P"
"Chaetodon pelewensis germanus",1,"P"
"Pterocaesio marri",1,"P"
"Amblyeleotris marquesas",1,"E"
"Brotula multibarbata",1,"P"
"Asterropteryx semipunctata",1,"P"
"Syritta oceanica",3,"S"
"Undinula vulgaris",1,"P"
"Albunea marquisiana",1,"E"
"Eviota albolineata",1,"P"
"Nemateleotris magnifica",1,"P"
"Heteropriacanthus cruentatus",1,"P"
"Plectranthias winniensis",1,"D"
"Caracanthus unipinna",1,"P"
"Acanthaster planci",1,"P"
"Ctenochaetus marginatus",1,"P"
"Chlorurus microrhinos",1,"P"
"Echinoneus cyclostomus",1,"P"
"Conus vitulinus",1,"P"
"Percnon abbreviatum",1,"P"
"Asterropteryx ensifera",1,"P"
"Conger cinereus marginatus",1,"P"
"Grammatostomias dentatus",1,NA
"Conus tessulatus",1,"P"
"Pseudagrion demorsum",8,"E"
"Pomacentrus pavo",1,"P"
"Acanthurus thompsoni",1,"P"
"Holothuria atra",1,"P"
"Kyphosus pacificus",1,"P"
"Canthigaster amboinensis",1,"P"
"Belzebub chacei",1,"P"
"Eustomias satterleei",1,"P"
"Diplacodes bipunctata",8,"P"
"Dichelopa zona",3,"E"
"Aphareus furca",1,"P"
"Chaetodon bennetti",1,"P"
"Heterocentrotus trigonarius",1,"P"
"Novaculichthys taeniourus",1,"P"
"Pachycheles pisoides",1,"P"
"Pseudosquilla ciliata",1,"P"
"Synodus jaculum",1,"P"
"Euchirograpsus tuerkayi",1,"P"
"Trimma taylori",1,"P"
"Luria isabella",1,"P"
"Eviota hinanoae",1,"P"
"Chalixodytes tauensis",1,"P"
"Pomacentrus coelestis",1,"P"
"Actinopyga mauritiana",1,"Q"
"Iniistius auropunctatus",1,"E"
"Plectroglyphidodon dickii",1,"P"
"Coris hewetti",1,"E"
"Cyclograpsus longipes",1,"P"
"Scolecenchelys laticaudata",1,"P"
"Pseudozius caystrus",1,"P"
"Apogonichthys perdix",1,"P"
"Gobiodon prolixus",1,"P"
"Conus ebraeus",1,"P"
"Neoniphon sammara",1,"P"
"Monetaria moneta",1,"P"
"Enchelycore bayeri",1,"P"
"Nemichthys scolopaceus",1,"P"
"Awaous ocellaris",4,"P"
"Gobiodon quinquestrigatus",1,"P"
"Tetralia glaberrima f. pullidactyla",1,"P"
"Osteomugil engeli",1,"P"
"Genicanthus bellus",1,"P"
"Thalamita admete",1,"P"
"Perinia tumida",1,"P"
"Chaetodon trichrous",1,"E"
"Ostorhinchus taeniophorus",1,"P"
"Pseudanthias mooreanus",1,"P"
"Holothuria impatiens bicolor",1,"P"
"Pteragogus enneacanthus",1,"P"
"Cerithium punctatum",1,"P"
"Rhabdoblennius rhabdotrachelus",1,"P"
"Coriophora granosa",1,"P"
"Xanthias punctatus samoensis",1,"P"
"Plesionika spinidorsalis",1,"P"
"Naineris retusiceps",1,"P"
"Cypraea tigris",1,"P"
"Cosmocalanus darwinii",1,"P"
"Halichoeres marginatus",1,"P"
"Daira perlata",1,"P"
"Chaetodon mertensii",1,"P"
"Macropharyngodon meleagris",1,"P"
"Acanthurus guttatus",1,"P"
"Priolepis squamogena",1,"P"
"Plectrypops lima",1,"P"
"Enchelycore schismatorhynchus",1,"P"
"Cabillus tongarevae",1,"P"
"Samariscus triocellatus",1,"P"
"Euryhaliotrema grande",1,NA
"Platysimus insularis",3,"P"
"Dichelopa flexura",3,"E"
"Acanthurus xanthopterus",1,"P"
"Carpilius maculatus",1,"P"
"Callionymus marquesensis",1,"E"
"Pocillopora damicornis",1,"P"
"Psaumis cavipes",1,"P"
"Cangetta eschatia",3,"E"
"Valenciennea helsdingenii",1,"P"
"Carangoides orthogrammus",1,"P"
"Cheilodipterus artus",1,"P"
"Heniochus acuminatus",1,"P"
"Xanthias lamarckii",1,"P"
"Thalassoma purpureum",1,"P"
"Remora brachyptera",1,NA
"Entomacrodus caudofasciatus",1,"P"
"Colobocentrotus pedifer",1,"E"
"Pachygrapsus plicatus",1,"P"
"Chalixodytes chameleontoculis",1,"P"
"Aseraggodes auroculus",1,"P"
"Cyclodius ungulatus",1,"P"
"Pleurosicya australis",1,"E"
"Ctenophoraster marquesensis",1,"P"
"Acropora robusta",1,"P"
"Etisus demani",1,"P"
"Gymnothorax rueppelliae",1,"P"
"Melichthys vidua",1,"P"
"Forcipiger flavissimus",1,"P"
"Oncopagurus elongatus",1,"P"
"Stethojulis strigiventer",1,"P"
"Saurida nebulosa",1,"P"
"Acanthurus nigricauda",1,"P"
"Micippoides angustifrons",1,"P"
"Mauritia scurra scurra",1,NA
"Blenniella gibbifrons",1,"P"
"Bothus mancus",1,"P"
"Chaetodon lunulatus",1,"P"
"Fowleria vaiulae",1,"P"
"Schultzidia johnstonensis",1,"P"
"Phenacovolva lahainaensis",1,"P"
"Diplospinus multistriatus",1,"P"
"Conus archiepiscopus",1,"P"
"Myripristis earlei",1,"P"
"Actaeodes hirsutissimus",1,"P"
"Conus striatus",1,"P"
"Pristiapogon fraenatus",1,"P"
"Cercamia cladara",1,"P"
"Mortonia australis",1,"P"
"Ostorhinchus sinus",1,"E"
"Mesocalanus tenuicornis",1,"P"
"Sebastapistes fowleri",1,"P"
"Conus frigidus",1,"P"
"Drupina grossularia",1,"P"
"Saurida gracilis",1,"P"
"Centropyge heraldi",1,"P"
"Chlorurus sordidus",1,"P"
"Calappa calappa",1,"P"
"Scorpaenodes parvipinnis",1,"P"
"Paragobiodon lacunicolus",1,"P"
"Gomphosus varius",1,"P"
"Architectonica modesta",1,"P"
"Bathygobius cotticeps",1,"P"
"Grapsus longitarsis",1,"P"
"Apogonichthys ocellatus",1,"P"
"Bodianus axillaris",1,"P"
"Ostracion meleagris",1,"P"
"Pseudojuloides atavai",1,"P"
"Odontanthias tapui",1,"P"
"Cerithium echinatum",1,"P"
"Conus marchionatus",1,"P"
"Centropyge fisheri",1,"P"
"Macrobrachium australe",4,"P"
"Acanthurus pyroferus",1,"P"
"Scorpaenodes scaber",1,"P"
"Pleurosicya fringilla",1,"P"
"Epinephelus polyphekadion",1,"P"
"Nemateleotris helfrichi",1,"P"
"Pterocaesio tile",1,"P"
"Eviota infulata",1,"P"
"Priolepis pallidicincta",1,NA
"Cheilodipterus quinquelineatus",1,"P"
"Nannobrachium nigrum",1,NA
"Montipora caliculata",1,"P"
"Stenopus hispidus",1,"P"
"Polylepion russelli",1,"P"
"Euapta magna",1,"P"
"Acanthurus nigrofuscus",1,"P"
"Paragiopagurus boletifer",1,"P"
"Austracris guttulosa",3,"P"
"Fowleria punctulata",1,"P"
"Pterois radiata",1,"P"
"Ophiocoma erinaceus",1,"P"
"Xanthias gilbertensis",1,NA
"Conus nanus",1,"P"
"Chaetodon smithi",1,"P"
"Conus quercinus",1,"P"
"Ptereleotris zebra",1,"P"
"Bathymenes poupini",1,"P"
"Leptodius sanguineus",1,"P"
"Siganus argenteus",1,"P"
"Malea pomum",1,"P"
"Zanclus cornutus",1,"P"
"Paragobiodon echinocephalus",1,"P"
"Liopropoma pallidum",1,"P"
"Sargocentron diadema",1,"P"
"Gymnothorax zonipectis",1,"P"
"Pseudogramma galzini",1,"E"
"Pseudosquillana richeri",1,"P"
"Kuhlia petiti",1,"P"
"Ctenochaetus striatus",1,"P"
"Neomerinthe naevosa",1,"E"
"Scabricola olivaeformis",1,"P"
"Conus lividus",1,"P"
"Etisus electra",1,"P"
"Ophiocoma (Breviturma) doederleini",1,"P"
"Gymnothorax gracilicauda",1,"P"
"Pristiapogon exostigma",1,"P"
"Asymphorodes lenticula",3,"E"
"Halichoeres ornatissimus",1,"P"
"Thalamita gatavakensis",1,"P"
"Bathynarius pacificus",1,"P"
"Trapezia tigrina",1,"P"
"Sargocentron tiereoides",1,"P"
"Xiphonectes iranjae",1,"P"
"Pontella lobiancoi",1,NA
"Mulloidichthys mimicus",1,"P"
"Thalassoma lutescens",1,"P"
"Danafungia scruposa",1,"P"
"Oncopagurus rossanae",1,"E"
"Plectroglyphidodon sagmarius",1,"E"
"Gymnothorax margaritophorus",1,"P"
"Wetmorella nigropinnata",1,"P"
"Dicranomyia illingworthi",3,"P"
"Amblycirrhitus bimacula",1,"P"
"Abudefduf conformis",1,"E"
"Centropyge multicolor",1,"P"
"Anampses melanurus lineatus",1,NA
"Ostracion cubicus",1,"P"
"Liomera bella",1,"P"
"Kuhlia sandvicensis",4,"P"
"Grammistops ocellatus",1,"P"
"Chromis acares",1,"P"
"Ziphius cavirostris",1,"P"
"Pseudogramma xantha",1,"P"
"Trimma milta",1,"P"
"Thalamita auauensis",1,"D"
"Canthigaster axiologus",1,"P"
"Gymnothorax chilospilus",1,"P"
"Liomera rugata",1,"P"
"Sympagurus poupini",1,"P"
"Chromis abrupta",1,"E"
"Haliotrema scyphovagina",1,"P"
"Luniella scabriculus",1,"P"
"Centropyge nigriocella",1,"P"
"Dardanus deformis",1,"P"
"Lotella phycis",1,"P"
"Fregetta grallaria",5,"P"
"Pelagobia longicirrata",1,"P"
"Conus catus var. granulosa",1,"P"
"Blenniella paula",1,"P"
"Neocalanus robustior",1,"P"
"Ophionereis porrecta",1,"P"
"Limatium aureum",1,"P"
"Ophichthus polyophthalmus",1,"P"
"Delcina diaspora",3,"E"
"Echinothrix diadema",1,"P"
"Sufflamen bursa",1,"P"
"Gobiodon rivulatus",1,"P"
"Cirrhitus pinnulatus",1,"P"
"Pseudocoris aurantiofasciata",1,"P"
"Eviota dorsimaculata",1,"E"
"Lepadichthys conwayi",1,"P"
"Macrophthalmus (Macrophthalmus) convexus",6,"P"
"Plectroglyphidodon lacrymatus",1,"P"
"Stenella longirostris longirostris",1,"P"
"Canthigaster solandri",1,NA
"Pseudobalistes fuscus",1,"P"
"Spherillo marquesarum",3,"S"
"Trapezia guttata",1,"P"
"Breviturma dentata",1,"P"
"Parupeneus williamsi",1,"E"
"Scarus ghobban",1,"P"
"Munida ocellata",1,"P"
"Pseudamiops phasma",1,"E"
"Bodianus loxozonus",1,"P"
"Conchodytes meleagrinae",1,"P"
"Percnon planissimum",1,"P"
"Domiporta filaris",1,"P"
"Eudonia munroei",3,"E"
"Lissocarcinus orbicularis",1,"P"
"Scarus niger",1,"P"
"Chlorodiella laevissima",1,"P"
"Labroides rubrolabiatus",1,"P"
"Eviota lacrimosa",1,"E"
"Littoraria coccinea",1,"P"
"Myripristis amaena",1,"P"
"Tetramorium tonganum",3,"C"
"Conocephalus saltator",3,NA
"Parupeneus pleurostigma",1,"P"
"Oplopomus oplopomus",1,"P"
"Geograpsus crinipes",5,"P"
"Ariosoma scheelei",1,"P"
"Rhynchium quinquecinctum",3,"P"
"Limnogonus luctuosus",8,"P"
"Psammoecus pradieri",3,"E"
"Selenothrips rubrocinctus",3,"I"
"Platnickina mneon",3,"Q"
"Conus litoglyphus",1,"P"
"Protaetia fusca",3,"I"
"Tangaroa tahitiensis",3,"P"
"Aphis craccivora",3,"I"
"Epinephelus merra",1,"P"
"Diachus auratus",3,"I"
"Anticarsia irrorata",3,"P"
"Mitrella moleculina",1,"P"
"Endotricha mesenterialis",3,"I"
"Drosophila mediostriata",3,"I"
"Paranamixis fijiensis",1,"P"
"Frigga crocuta",3,"I"
"Palutrus pruinosa",1,"P"
"Myripristis kuntee",1,"P"
"Ornebius novarae",3,"P"
"Glossodoris hikuerensis",1,"P"
"Noduliferola marquesana",3,"E"
"Pseudanthias ventralis ventralis",1,NA
"Cardiocondyla minutior",3,"I"
"Solenopsis geminata var. incrassata",3,NA
"Thorelliola ensifera",3,"P"
"Bactrocera tryoni",3,"I"
"Physocyclus globosus",3,"I"
"Acanthoderes quadrigibba",3,"I"
"Acicnemis variegatus",3,"P"
"Xylosandrus crassiusculus",3,"I"
"Plectroglyphidodon imparipennis",1,"P"
"Lytocarpia phyteuma",1,"P"
"Hesperobaenus capito",3,"P"
"Tetramorium bicarinatum",3,"I"
"Cheilinus chlorourus",1,"P"
"Nerita plicata",1,"P"
"Scarus psittacus",1,"P"
"Telostylinus lineolatus",3,"P"
"Stomatella rosacea",1,"P"
"Macropharyngodon pakoko",1,"E"
"Pycnoscelus surinamensis",3,"I"
"Luceria oculalis",3,"P"
"Synthesiomyia nudiseta",3,"P"
"Liopropoma tonstrinum",1,"P"
"Sebastapistes strongia",1,"P"
"Chrysodeixis eriosoma",3,"I"
"Liocarpilodes integerrimus",1,"P"
"Chromis flavapicis",1,"E"
"Brachyrhynchus membranaceus",3,"P"
"Paracirrhites hemistictus",1,"P"
"Heteropoda nobilis",3,"P"
"Monopis crocicapitella",3,"I"
"Cydia pseudomalesana",3,"E"
"Calcinus morgani",1,"P"
"Dendostrea sandvichensis",1,"P"
"Bactrocera dorsalis",3,"I"
"Conus legatus",1,"P"
"Dudua aprobola",3,"P"
"Caranx lugubris",1,"P"
"Polistes olivaceus",3,"I"
"Peckia chrysostoma",3,"I"
"Mallada basalis",3,"P"
"Monomorium floricola",3,"I"
"Gymnoscelis concinna",3,"P"
"Tropidomantis tenera",3,"I"
"Uropterygius fuscoguttatus",1,"P"
"Velella velella",1,NA
"Iridomyrmex anceps",3,"I"
"Adoretus sinicus",3,"I"
"Leucauge granulata",3,"P"
"Stanulus seychellensis",1,"P"
"Exelastis pumilio",3,"I"
"Hapalocarcinus marsupialis",1,"P"
"Lamarcka avellana",1,"P"
"Eviota afelei",1,"P"
"Conoderus pallipes",3,"P"
"Balclutha incisa",3,"P"
"Cyclosa tauraai",3,"E"
"Sargocentron tiere",1,"P"
"Anoplolepis gracilipes",3,"J"
"Pascahinnites coruscans",1,"P"
"Parupeneus ciliatus",1,"P"
"Balta notulata",3,"P"
"Cosmophasis lami",3,"I"
"Conus miliaris",1,"P"
"Metioche vittaticollis",3,NA
"Simplicia cornicalis",3,NA
"Leptoglossus gonagra",3,"I"
"Siganus spinus",1,"P"
"Hieromantis ephodophora",3,"I"
"Spodoptera litura",3,"I"
"Xiphonectes macrophthalmus",1,"P"
"Drosophila ananassae",3,"I"
"Tetramorium pacificum var. wilsoni",3,NA
"Dendrochirus biocellatus",1,"P"
"Oxymeris crenulata",1,"P"
"Utetheisa pulchelloides",3,"P"
"Mocis trifasciata",3,"P"
"Scholastes lonchifer",3,"P"
"Pholcus ancoralis",3,"P"
"Dryadaula terpsichorella",3,"P"
"Nezara viridula",3,"I"
"Etelis carbunculus",1,"P"
"Clubiona samoensis",3,"P"
"Ectopsocus fullawayi",3,"P"
"Chrysomya megacephala",3,"I"
"Scutellastra flexuosa",1,"P"
"Argyrodes samoensis",3,"P"
"Pachygrapsus planifrons",1,"P"
"Pyrene flava",1,"P"
"Dictis striatipes",3,"P"
"Conus canonicus",1,"P"
"Tetragnatha keyserlingi",3,"I"
"Tetragnatha macilenta",3,"P"
"Erechthias tritogramma",3,"E"
"Herpetogramma licarsisalis",3,"M"
"Paratrechina vaga var. crassipilis",3,"C"
"Enchelycore pardalis",1,"P"
"Tenguella granulata",1,"P"
"Cnaphalocrocis poeyalis",3,"P"
"Linckia laevigata",1,"P"
"Theridion societatis",3,"E"
"Chasmina tibialis",3,"P"
"Conus episcopatus",1,"P"
"Hypena longfieldae",3,"E"
"Terebra funiculata",1,"P"
"Neoscona theisi savesi",3,"A"
"Pseudoregma panicola",3,NA
"Globicephala macrorhynchus",1,"P"
"Pseudobulweria rostrata",5,"P"
"Omphalotropis boraborensis",3,"E"
"Dermatophagoides pteronyssinus",3,NA
"Oxymeris dimidiata",1,"P"
"Partula suturalis suturalis",3,"Z"
"Omphalotropis huaheinensis",3,"E"
"Terebra quoygaimardi",1,"P"
"Partula otaheitana affinis subvar. erythraea",3,"E"
"Partula hyalina",3,"S"
